Client name,Service Offerings,Service Lines,[Year-Month],[Service Offering ID],Country,Collection Days,Revenue,Gross Profit,Direct Profit,Total Cost,Total Cost GP,Total Cost DP,External Blue,External Green,External Red,External Yellow,External Pink,External Orange,External Black,Internal Blue,Internal green,Internal Red,Internal Yellow,Internal Orange,Internal White,Internal Brown,Internal Blue,Internal Pink,Internal Pink
A.I.V. GmbH,Stickem,Venus,2023-Dec,SO00061,IRELAND,45,841.36,823.6737,406.4026,434.9574,17.6863,417.2711,404.496,,,,,,,,,,12.7751,,,17.6863,,,
A.I.V. GmbH,Stickem,Venus,2023-Dec,SO00061,IRELAND,45,,-75.5793,-84.9808,84.9808,75.5793,9.4015,,,,,,,,2.3209,,,7.0806,,,75.5793,,,
AAS Installationen GmbH,Orbital Keys,Earth,2023-Dec,SO00063,USA,30,3117.47,2999.819,892.238,2225.232,117.651,2107.581,1986.841,,,,,,,,120.74,,,,,117.651,,,
AAS Installationen GmbH,Orbital Keys,Earth,2023-Dec,SO00063,USA,30,971.75,796.4679,753.2319,218.5181,175.2821,43.236,,,,,,,,,43.236,,,,,175.2821,,,
ABBAS Qamar,Scruncho,Venus,2023-Dec,SO00065,USA,30,8972,8972,3791.5041,5180.4959,0,5180.4959,,,,,,,5180.4959,,,,,,,,,,
ABBAS Qamar,Scruncho,Venus,2023-Dec,SO00065,USA,30,,-62.6006,-82.7379,82.7379,62.6006,20.1373,,,,,,,,,,,20.1373,,,62.6006,,,
ABBAS Qamar,Scruncho,Venus,2023-Dec,SO00065,USA,30,,-1.1822,-1.1822,1.1822,1.1822,0,,,,,,,,,,,,,,1.1822,,,
ABBAS Qamar,Stickem,Venus,2023-Dec,SO00061,IRELAND,45,150,144.4486,100.0742,49.9258,5.5514,44.3744,40.89,,,,,,0,,,,3.4844,,,5.5514,,,
ABBAS Qamar,Stickem,Venus,2023-Dec,SO00061,IRELAND,45,,-13.6787,-16.5929,16.5929,13.6787,2.9142,,,,,,,,,,,2.9142,,,13.6787,,,
ABBAS Qamar,Uno Wear,Venus,2023-Dec,SO00064,USA,30,2031.38,2013.1063,1063.5668,967.8132,18.2737,949.5395,872.636,,,,,,,,,,76.9035,,,18.2737,,,
ABBAS Qamar,Uno Wear,Venus,2023-Dec,SO00064,USA,30,,-47.7153,-79.6777,79.6777,47.7153,31.9624,,,,,,,,,,,17.2098,,,47.7153,14.7526,,
